Date,MSCI Stocks Weeks
2013-06-03,0.15669380255118404
2013-06-10,0.3133461216060066
2013-06-17,0.4695911575710098
2013-06-24,0.6343110185035219
2013-07-01,0.7940869912862175
2013-07-08,0.9524170524649531
2013-07-15,1.106166856433953
2013-07-22,1.2579268166930782
2013-07-29,1.4108695885666984
2013-08-05,1.5616538173405512
2013-08-12,1.7130712357947004
2013-08-19,1.8667749575253838
2013-08-26,2.020170129565739
2013-09-02,2.1759710658254985
2013-09-09,2.3282025510516866
2013-09-16,2.4774209451036424
2013-09-23,2.625552195316581
2013-09-30,2.7750460837572652
2013-10-07,2.925247353458665
2013-10-14,3.0729141443295105
2013-10-21,3.217169256610477
2013-10-28,3.360484599091151
2013-11-04,3.504372734699004
2013-11-11,3.6485278225086732
2013-11-18,3.790730427091579
2013-11-25,3.9328559618389036
2013-12-02,4.075188372541922
2013-12-09,4.217849865351782
2013-12-16,4.362242173477267
2013-12-23,4.503188884344823
2013-12-30,4.642529663120436
2014-01-06,4.783143150391165
2014-01-13,4.9233934410598925
2014-01-20,5.062653496680359
2014-01-27,5.206442115907007
2014-02-03,5.353249352133552
2014-02-10,5.495983200133423
2014-02-17,5.6355430748086555
2014-02-24,5.773868224672428
2014-03-03,5.913270449346065
2014-03-10,6.050917393193912
2014-03-17,6.190444359570704
2014-03-24,6.330646933596495
2014-03-31,6.468512616576195
2014-04-07,6.607589710254353
2014-04-14,6.747929557227784
2014-04-21,6.885916420878364
2014-04-28,7.023882660539519
2014-05-05,7.160451087466988
2014-05-12,7.296607765679742
2014-05-19,7.433491310635035
2014-05-26,7.568984465069229
2014-06-02,7.70336591397897
2014-06-09,7.836299030010969
2014-06-16,7.969924141198197
2014-06-23,8.102072427433146
2014-06-30,8.234438254812224
2014-07-07,8.3659456805982
2014-07-14,8.498037991989092
2014-07-21,8.63065636493848
2014-07-28,8.762658007038906
2014-08-04,8.897599725710613
2014-08-11,9.033217893662865
2014-08-18,9.166812835580238
2014-08-25,9.299040627041144
2014-09-01,9.431036228947688
2014-09-08,9.563336794664908
2014-09-15,9.696971965303657
2014-09-22,9.830637323386467
2014-09-29,9.966210077601199
2014-10-06,10.103587433966304
2014-10-13,10.246601688197023
2014-10-20,10.38852182027736
2014-10-27,10.526970621449191
2014-11-03,10.662789931061532
2014-11-10,10.797380640713481
2014-11-17,10.93194231279476
2014-11-24,11.064561447879285
2014-12-01,11.197962548971974
2014-12-08,11.331627907054784
2014-12-15,11.471102589610407
2014-12-22,11.605016932640032
2014-12-29,11.738277831271576
2015-01-05,11.87635964474606
2015-01-12,12.013991811769117
2015-01-19,12.15119927402563
2015-01-26,12.285951094859609
2015-02-02,12.422150363469536
2015-02-09,12.556770123227112
2015-02-16,12.688419341252699
2015-02-23,12.818771661849887
2015-03-02,12.94866175318427
2015-03-09,13.081147647852685
2015-03-16,13.21376678293721
2015-03-23,13.343558251311356
2015-03-30,13.474877842487205
2015-04-06,13.605663072649591
2015-04-13,13.735888136286238
2015-04-20,13.865597897724045
2015-04-27,13.993691300017174
2015-05-04,14.12255290651764
2015-05-11,14.251539838851526
2015-05-18,14.379126173334413
2015-05-25,14.507059797958394
2015-06-01,14.636830829949549
2015-06-08,14.768533392881423
2015-06-15,14.899869426191744
2015-06-22,15.028351504654893
2015-06-29,15.161160684425399
2015-07-06,15.294591867292835
2015-07-13,15.425808415274135
2015-07-20,15.555294738712844
2015-07-27,15.688411889792823
2015-08-03,15.81944292056153
2015-08-10,15.950070463988656
2015-08-17,16.08200795728183
2015-08-24,16.227191493468826
2015-08-31,16.367440079412457
2015-09-07,16.511792646121386
2015-09-14,16.654218171814
2015-09-21,16.795887384591243
2015-09-28,16.94381258572021
2015-10-05,17.084741220868658
2015-10-12,17.222564088163153
2015-10-19,17.359933266915256
2015-10-26,17.49528337704513
2015-11-02,17.629828573916146
2015-11-09,17.76624925892988
2015-11-16,17.904645751040125
2015-11-23,18.040608297890554
2015-11-30,18.17680354740025
2015-12-07,18.31363028005997
2015-12-14,18.455008738883965
2015-12-21,18.595815269303102
2015-12-28,18.733968174175157
2016-01-04,18.875467129205376
2016-01-11,19.023625008216687
2016-01-18,19.176043508774285
2016-01-25,19.32775059273657
2016-02-01,19.475060131323815
2016-02-08,19.629056174652142
2016-02-15,19.78249724407502
2016-02-22,19.930614232797392
2016-02-29,20.079769936934127
2016-03-07,20.22331617006565
2016-03-14,20.365109860246438
2016-03-21,20.505507766632856
2016-03-28,20.647290131647775
2016-04-04,20.787938756221433
2016-04-11,20.929329342059187
2016-04-18,21.067075701422908
2016-04-25,21.204219561675142
2016-05-02,21.3419396153676
2016-05-09,21.48240503348399
2016-05-16,21.62239328380351
2016-05-23,21.76348304228606
2016-05-30,21.90110453913086
2016-06-06,22.037946687607327
2016-06-13,22.17817737643917
2016-06-20,22.31684914129623
2016-06-27,22.463671322016715
2016-07-04,22.60261527387912
2016-07-11,22.74029342366836
2016-07-18,22.87572693958112
2016-07-25,23.011159660668266
2016-08-01,23.145509815685955
2016-08-08,23.279684993904134
2016-08-15,23.412354449282752
2016-08-22,23.545546125868498
2016-08-29,23.679281199362606
2016-09-05,23.812106431906383
2016-09-12,23.94660614676699
2016-09-19,24.08210725697275
2016-09-26,24.21667834527157
2016-10-03,24.350626889384845
2016-10-10,24.484850453047304
2016-10-17,24.621575042326636
2016-10-24,24.756825201020156
2016-10-31,24.893300747331768
2016-11-07,25.030205406014762
2016-11-14,25.16656885642824
2016-11-21,25.30148296336206
2016-11-28,25.4362009581835
2016-12-05,25.570517488518888
